ID,OSAVI_mean,ATSAVI_mean,TVI_mean,CRI_2_mean,R_MCARI_MTVI2_mean,blue_mean,NPCI_mean,R_TCARI_OSAVI_mean,RERI_mean,rede_mean,MSAVI_mean,SAVI_mean,ARI_2_mean,TCARI_mean,TSAVI_mean,red_mean,NDRE_mean,RDVI_mean,NGRDI_mean,DVI_mean,NEXG_mean,MCARI_mean,RVI_1_mean,GNDVI_mean,RVI_2_mean,SPVI_mean,RECI_mean,NDWI_mean,EVI_mean,PSRI_mean,RGVI_mean,ENDVI_mean,EVI_2_mean,MTCI_mean,DATT_mean,GCI_mean,SAVI_2_mean,MCARI_2_mean,MTVI_2_mean,NDCI_mean,MCARI_1_mean,MTVI_1_mean,green_mean,NDVI_mean,SIPI_mean,SRPI_mean,nir_mean,HEALTH_STA
128,0.36455274,,19.668913,2.666794,1.9823087,0.13313735,0.11565947,1.3115904,0.39949813,0.32232484,0.3741668,0.38024145,1.0984808,0.31557503,0.805503,0.16170606,0.12910183,0.3384796,0.1707216,0.29232308,0.24276847,0.49816647,3.0225463,0.37193486,2.3310287,0.3892123,0.30549082,0.0485398,0.21058592,0.24140951,0.9135076,0.3777168,0.3932839,inf,inf,1.3572859,18.565409,1.5155023,1.5155023,0.27241963,0.50457865,0.50457865,0.18621022,0.46333453,0.47088492,0.8643533,0.4221724,AVARAGE
116,0.4108768,,22.934444,2.549303,3.4329696,0.12767841,0.101430625,1.0369952,0.4408512,0.36493093,0.43033877,0.433917,1.1636748,0.37206224,0.81031543,0.15264665,0.12838826,0.4011478,0.18390161,0.34153366,0.28108183,0.5956596,3.4643157,0.39796412,2.4403117,0.4419306,0.3000198,0.050662786,0.2368272,0.19112295,0.7921479,0.4387263,0.45293143,inf,inf,1.4555331,21.355074,1.5622269,1.5622269,0.29061115,0.58731246,0.58731246,0.2003993,0.51557416,0.5356527,0.86679894,0.4770689,AVARAGE
86,0.35905,,18.796284,2.2409303,3.7076907,0.14113967,0.099305086,inf,0.40646124,0.31831405,0.36325216,0.3709273,0.91029173,0.3368405,0.8009649,0.16299099,0.116930366,0.32695502,0.16614749,0.27710927,0.22803557,0.44424295,2.8333995,0.34404033,2.1184425,0.3578925,0.27180022,0.03526774,0.21184714,0.24206243,0.8638581,0.35370636,0.3793891,inf,0.4654025,1.164914,18.578623,1.1240618,1.1240618,0.24574836,0.48419133,0.48419133,0.19444332,0.45927706,0.45517683,0.9100354,0.4045143,None
212,0.43336627,,25.76062,2.1920831,2.8452158,0.13246864,0.10489115,1.1048702,0.47238082,0.40249237,0.46288505,0.4646161,1.1362582,0.4243607,0.81872714,0.15348467,0.12502952,0.436916,0.211562,0.37728944,0.32579258,0.7195711,3.6887038,0.39168665,2.4061437,0.4739012,0.29369694,0.067705564,0.26115957,0.1971281,0.71982056,0.45992517,0.49000952,inf,inf,1.4211621,19.1679,1.8278905,1.8278905,0.2876407,0.6648294,0.6648294,0.22135815,0.5359885,0.5551096,0.89282876,0.51881796,AVARAGE
2,0.3899874,,23.656132,1.9831957,2.5600982,0.17277896,0.07652823,1.3220127,0.49938428,0.4178864,0.4113321,0.41575086,0.92250335,0.43457976,0.80788016,0.17270724,0.08214223,0.38442943,0.22065462,0.33622986,0.2799782,0.7502134,3.2468066,0.32887748,2.064896,0.40461686,0.1842454,0.038102597,0.2775803,0.16567138,0.7292088,0.35037348,0.43490756,inf,inf,1.0887375,17.023054,2.0931246,2.0931246,0.2648376,0.6202487,0.6202487,0.24374281,0.48606074,0.46435863,1.0529994,0.48803136,None
108,0.37567878,,21.87737,2.1338956,2.695481,0.1380226,0.12461244,inf,0.43515557,0.37231526,0.39428112,0.39928538,0.97956955,0.38203222,0.809542,0.17277813,0.10486256,0.3606887,0.18756859,0.3192553,0.2800757,0.5947541,3.048313,0.34944794,2.1805263,0.40890115,0.2402314,0.051366463,0.21976748,0.21475296,0.83595425,0.40426052,0.4160184,inf,inf,1.2057214,15.248759,1.8270236,1.8270236,0.26298603,0.56608576,0.56608576,0.21603797,0.4687546,0.48689547,0.8361578,0.4622895,None
195,0.44022956,,24.622427,2.8325965,7.991433,0.12850215,0.10135242,1.0169517,0.48847893,0.377254,0.46653554,0.4663405,1.3920197,0.34850636,0.8288888,0.14813381,0.117454454,0.4196896,0.20293087,0.3679285,0.28631765,0.79752284,3.9203877,0.41844913,2.5982635,0.48073253,0.27413443,0.060697384,0.26212502,0.2699605,0.7900814,0.4388623,0.49312082,inf,inf,1.6644385,35.77105,1.7145919,1.7145919,0.32631844,0.6291288,0.6291288,0.19171236,0.5501707,0.54628444,0.92065287,0.47966486,AVARAGE
291,0.38787234,,22.221752,2.318265,2.369558,0.13819186,0.11732898,1.2413787,0.4235934,0.36727437,0.40942916,0.4137057,1.0910944,0.38045055,0.80678624,0.17359711,0.12815168,0.3756509,0.16198915,0.33213004,0.2561837,0.53940207,3.063369,0.37775856,2.3371081,0.4349908,0.30389538,0.049432453,0.22531772,0.27570823,0.87140715,0.40916875,0.43032417,inf,inf,1.3617668,15.439766,1.4921961,1.4921961,0.27705958,0.56823426,0.56823426,0.20912899,0.48195487,0.49860075,0.8253939,0.47503915,AVARAGE
190,0.31459975,,18.070871,1.9910002,2.1550255,0.16579683,0.13544747,1.620215,0.40359268,0.35493296,0.32777572,0.3342658,0.86951256,0.34203216,0.8017889,0.20532176,0.087797105,0.28825903,0.13914357,0.2659478,0.18489684,0.4642638,2.3798165,0.3119461,1.9873332,0.35985228,0.19936325,0.045356795,0.19893712,0.2565478,0.98639035,0.30750033,0.34328294,inf,inf,1.0413011,9.0870075,1.4680048,1.4680048,0.24644142,0.46507007,0.46507007,0.21452062,0.39224675,0.39494032,0.85724306,0.41835552,HEALTHY
249,0.3815618,,21.910706,2.2413898,5.5048356,0.14259122,0.09777747,inf,0.4494818,0.37820068,0.40094587,0.40559906,1.0381199,0.38235313,0.8038948,0.16932286,0.10629142,0.37083176,0.1772779,0.32310852,0.26432383,0.58897394,3.0888684,0.36217102,2.2452738,0.41714737,0.24469729,0.041614108,0.2283144,0.21105677,0.8293982,0.39740145,0.42177758,inf,inf,1.260142,16.33694,1.5289736,1.5289736,0.2779463,0.5637627,0.5637627,0.21235317,0.4756007,0.49117616,0.8738152,0.46990773,AVARAGE
