,ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,1.0248201,-0.37114015,0.11741962,2.656742,inf,0.25424066,0.40678814,0.19324066,0.3654631,1.2423941,0.35380378,0.1822729,0.49285376,0.43379268,-0.11824672,0.3504827,,0.43379268,-0.11824672,0.2737629,0.09235767,0.45770603,-0.35380378,0.24875255,0.14154978,0.39308694,0.06518506,0.35221863,-0.10777155,0.34991008,0.2176627,0.1388661,0.3218799,0.42492822,0.79411566,3.2332425,2.2422976,1.0197445,-inf,0.35701272,5.9944882,0.49986148,0.30449364,0.8991542,0.29427373,0.34082863,16.989527,AVARAGE
1,0.9099303,-0.38795236,0.12444895,2.3536203,,0.23975614,0.38198054,0.1776615,0.33672994,1.1214576,0.3296434,0.18910372,0.43163064,0.40552,-0.077479355,0.32212391,inf,0.40552,-0.077479355,0.24914116,0.091862366,0.4149499,-0.3296434,0.22394519,0.1176467,0.39014533,0.07997844,0.32155555,-0.082229935,0.3272211,0.21162015,0.15043038,0.3193648,0.37125966,0.8289466,2.958852,2.1212654,19.012896,,0.32878107,6.91429,0.46851417,0.28669885,0.8646367,0.2835143,0.28872812,15.929833,AVARAGE
2,1.0238785,-0.3551253,0.13002807,2.2878675,,0.29135743,0.40909892,0.21687654,0.40090382,1.2682022,0.36158922,0.1986027,0.55564606,0.49721327,0.22330046,0.3824039,inf,0.49721327,0.22330046,0.27002236,0.105572745,0.4710888,-0.36158922,0.25536638,0.15243384,0.4401322,0.05190177,0.37129542,-0.115599215,0.37635744,0.24437974,0.14880222,0.35153234,0.41553092,0.76612514,3.381952,2.2680826,0.13915917,,0.38632306,9.140742,0.5078855,0.35643172,0.91528463,0.3223209,0.37524858,19.472185,AVARAGE
3,1.1963558,-0.32169837,0.1072852,2.6082318,inf,0.34462425,0.49642476,0.24329239,0.47959667,1.4764946,0.39556643,0.19598734,0.80588675,0.6084282,0.67142874,0.4562335,inf,0.6084282,0.67142874,0.2944087,0.11950559,0.5552763,-0.39556643,0.38144407,0.23180495,0.46868438,0.054097384,0.43692234,-0.17103212,0.4400594,0.280244,0.1240725,0.364464,0.46967784,0.6548256,4.396035,2.476335,-1.3093458,-inf,0.45464185,5.0861135,0.58781314,0.41485336,0.9111781,0.330465,0.4523889,23.553305,AVARAGE
4,0.9619176,-0.3583848,0.12129053,2.2522137,0.30678105,0.28214723,0.43597135,0.20188281,0.39243394,1.2262002,0.3544302,0.19999897,0.5237641,0.48546687,0.19396019,0.37421632,,0.48546687,0.19396019,0.25401422,0.11453731,0.47026852,-0.3544302,0.2894982,0.16035062,0.43139312,0.08374028,0.36714435,-0.1206713,0.37408826,0.2643329,0.14924586,0.33946973,0.39344332,0.7546005,3.3803544,2.226059,0.27464908,0.9711858,0.37881073,7.3094234,0.5213728,0.33837354,0.85667616,0.31105986,0.37195912,18.95896,AVARAGE
5,1.0481452,-0.35899127,0.116899535,2.3469958,inf,0.28668472,0.45218968,0.19773573,0.39733422,1.327592,0.36258623,0.19747151,0.5649045,0.48313263,0.2764005,0.37800974,inf,0.48313263,0.2764005,0.25996572,0.119604826,0.4648557,-0.36258623,0.2936036,0.15172032,0.43905848,0.10647035,0.3653055,-0.09418797,0.38134748,0.27967668,0.15238905,0.34017146,0.36485505,0.77767235,3.5839093,2.327474,0.25452328,-inf,0.37949947,4.8554587,0.52872074,0.34378406,0.8194035,0.27584845,0.36403853,19.003464,AVARAGE
6,1.0310292,-0.3602948,0.10798657,2.5886807,,0.27464765,0.45594028,0.19314457,0.38918173,1.3141575,0.36947283,0.1842762,0.4923075,0.46958983,0.050487988,0.37197575,,0.46958983,0.050487988,0.2641881,0.12145614,0.4808133,-0.36947283,0.2941248,0.15514794,0.41139495,0.10232594,0.3708112,-0.121989675,0.36586925,0.28326637,0.13676323,0.31845853,0.40241146,0.76048595,3.4500318,2.3141322,0.5195429,-inf,0.3779922,2.8081942,0.53700733,0.33649564,0.8240039,0.29663253,0.37074694,18.378777,AVARAGE
7,0.97299784,-0.38764545,0.12380563,2.349219,inf,0.24130057,0.3868611,0.17597337,0.33930337,1.230768,0.3433352,0.18360521,0.4165316,0.39169917,-0.09816372,0.3242659,inf,0.39169917,-0.09816372,0.24773541,0.11076611,0.4093518,-0.3433352,0.20670307,0.10097712,0.39648885,0.09109576,0.3192126,-0.04884445,0.33441254,0.2579048,0.15522298,0.3104059,0.31798053,0.85884416,3.0810924,2.230458,-0.45224616,-inf,0.32822528,5.797187,0.47236744,0.29261118,0.8457609,0.2407429,0.28727633,15.611241,AVARAGE
8,1.2599149,-0.32840967,0.118648775,2.72103,-inf,0.3387177,0.47222096,0.23741345,0.4625633,1.5694789,0.4033541,0.19931471,0.70100266,0.5789465,0.640832,0.43877825,,0.5789465,0.640832,0.29479265,0.12976961,0.5289723,-0.4033541,0.31362864,0.18365726,0.47956336,0.06361348,0.41842967,-0.12997894,0.43035182,0.30966765,0.14085189,0.36603528,0.42639434,0.7276873,4.0781693,2.5693626,1.4037578,-inf,0.43844426,5.151284,0.5671598,0.41315585,0.8943143,0.3203262,0.4421918,22.661617,AVARAGE
9,0.9539844,-0.38759324,0.12805313,2.3921585,inf,0.245967,0.37429407,0.18143061,0.34174803,1.2287278,0.3437189,0.1873738,0.420227,0.40484,-0.024823256,0.3262721,inf,0.40484,-0.024823256,0.24260023,0.11611384,0.4119337,-0.3437189,0.19874735,0.10134213,0.40081424,0.07586784,0.321225,-0.0549899,0.33092695,0.274915,0.15487854,0.3127197,0.32279238,0.86451507,3.0516338,2.2285266,-5.699741,-inf,0.331074,4.979863,0.46535453,0.2961399,0.8736449,0.25269282,0.2886875,16.056242,AVARAGE
