ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,inf,,0.5071152,inf,11.601724,0.10886337,0.079496466,1.1209147,0.10683608,inf,0.22268537,0.3809703,0.12954764,0.19038235,0.51029617,0.110022165,6.007772,0.19038235,0.5102962,0.20899512,0.15981376,0.11253188,0.10338911,0.09309726,0.08409318,0.48915264,0.08919343,0.09619071,0.3490733,0.10061281,0.42691082,0.46293372,0.4121443,0.22571719,inf,1.0868042,inf,0.1921656,42.977253,0.11055411,1.3749825,0.10943885,0.13021846,1.1151631,0.23512092,0.090401605,6.719056,HEALTHY
0,0.96385723,,0.13369867,2.8419473,0.49668315,0.20639455,0.2881595,0.1684815,0.29614207,1.3689475,0.39712378,0.1480393,0.1629368,0.30491886,0.7296872,0.28384957,1.1151319,0.3049189,0.7296872,0.24890366,0.16636467,0.40574867,0.09751325,0.07691679,0.053417362,0.3495736,0.05990834,0.30438438,0.060157135,0.28649235,inf,0.14326191,0.25047824,0.2911718,0.9876272,2.4251602,2.3685732,2.9976535,0.66425097,0.3010498,9.524639,0.42268372,0.2873182,0.9477073,0.21015675,0.2890948,12.581525,HEALTHY
10,inf,,0.2872997,inf,5.4871516,0.063952625,0.08460132,0.94953203,0.08510071,inf,0.22185555,0.21710794,0.077185936,0.11366251,0.14822717,0.08369337,8.603897,0.11366251,0.14822717,0.20890331,0.16457504,0.11663436,0.10947726,0.09529082,0.08704517,0.27741355,0.09237487,0.089769594,0.35366526,0.07838163,0.444761,0.26178128,0.2329023,0.2342114,inf,1.0924401,inf,0.080337495,11.748829,0.09081235,1.8133146,0.11303462,0.07784107,1.1187935,0.13911821,0.080236256,4.0899205,HEALTHY
10,0.60971713,,0.15281594,1.097833,1.6517111,0.20273487,0.18228278,0.14730363,0.23348173,0.8238348,0.22622825,0.16329795,0.18856008,0.3237513,1.5379404,0.22125746,3.7064235,0.3237513,1.5379404,0.14803265,0.10280981,0.24383718,0.04485845,0.055315997,0.038234502,0.31393543,0.03020388,0.20157875,0.03717722,0.17713577,0.25307924,0.1568689,0.23676255,0.18333542,0.9817523,1.7230856,1.6484071,0.40231666,2.1095598,0.22387922,4.3550873,0.24893405,0.3148751,0.9859503,0.21586649,0.42501375,12.98818,HEALTHY
11,inf,,0.682816,inf,5.15031,0.08101664,0.039694067,0.5388632,0.06313202,inf,0.11222998,0.58893335,0.08024149,0.14154069,0.5535115,0.06836212,7.93113,0.14154069,0.5535115,0.100892946,0.0820765,0.060161505,0.054156702,0.04823265,0.044251945,0.67134696,0.04565184,0.053735346,0.17328854,0.06376261,0.18665594,0.6526284,0.61359847,0.11717787,inf,1.0364071,inf,0.1365882,22.616684,0.06571495,1.2006712,0.061189894,0.09727377,1.0507151,0.18529026,0.045005985,5.0784435,HEALTHY
11,inf,,0.13969855,inf,0.5224794,0.32509926,0.35499996,0.24499467,0.427106,inf,0.47511825,0.15892759,0.32348505,0.4945781,1.0597804,0.40453684,1.4556348,0.49457806,1.0597804,0.30118272,0.20643644,0.50699353,0.23631936,0.10173222,0.07247922,0.46735948,0.047171228,0.3963644,0.07447519,0.3993109,0.52815133,0.14240599,0.30947307,0.33140856,inf,3.1890955,inf,3.2775292,0.71104926,0.41384476,20.73443,0.505999,0.45616925,1.0050974,0.29832727,0.43161094,20.17831,HEALTHY
12,0.34475803,,0.62095904,0.5450497,6.139141,0.09412435,0.05257222,0.7629887,0.0792795,0.37166288,0.14459553,0.51466143,inf,0.16398016,0.5754198,0.08427947,8.444139,0.16398016,0.5754198,0.1328309,0.10635577,0.077635586,0.07043565,0.06164419,0.055832885,0.60605407,0.059120603,0.068495415,0.22209017,0.07762836,0.25260115,0.5837765,0.53945684,0.15334924,1.1782744,inf,1.2340906,inf,18.543484,0.0822414,1.245103,0.07709224,0.11428132,inf,0.21387404,0.060712565,5.894752,HEALTHY
12,inf,,0.1448871,inf,0.5088089,0.3575003,0.38230044,0.28171968,0.47755986,inf,0.51056945,0.15896113,0.35447198,0.5390438,1.1799978,0.45501447,1.0866982,0.5390438,1.1799978,0.33288467,0.2181136,0.54324853,0.6160087,0.09845989,0.08523517,0.50088835,0.05575569,0.4343834,0.048868056,0.4386477,0.5678866,0.14341192,0.31985885,0.34327748,inf,3.6157973,inf,7.239994,0.6840939,0.4588868,15.416006,0.54171795,0.5021072,1.0351446,0.297342,0.47926575,22.07164,HEALTHY
13,inf,,0.5266699,inf,5.6470733,0.11627045,0.085038625,0.6122979,0.111653514,inf,0.23528232,0.39006153,0.14248598,0.20290594,0.57424974,0.11509066,8.615949,0.20290594,0.57424974,0.22468446,0.16852793,0.115855604,0.10987085,0.095901184,0.08744158,0.5091901,0.092961624,0.09949794,0.37345558,0.10579796,0.46149042,0.48111022,0.42509586,0.23713617,inf,1.091358,inf,0.21648304,72.736755,0.11513874,1.3717874,0.1160295,0.14043298,1.1156151,0.25271097,0.09472323,7.264813,HEALTHY
13,1.5936717,,0.11659996,4.0957165,0.52318007,0.27869254,0.36829293,0.21943069,0.39813468,2.1395752,0.49830192,0.12763569,0.26177216,0.412985,1.0854983,0.37905756,1.2598801,0.412985,1.0854983,0.32483596,0.21154518,0.51264966,0.18775184,0.09657411,0.07547826,0.39894783,0.06524101,0.3895702,inf,0.3735246,inf,0.12034521,0.25681865,0.32586375,0.97304475,3.3017924,3.1389964,2.3210933,0.5748892,0.39145827,29.71254,0.5206364,0.39143565,0.9828408,0.23099767,0.41811746,17.019741,HEALTHY
