,ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,2.2378922,-0.2933972,0.10823361,5.0382423,0.41980264,0.36646318,0.49049565,0.27153754,0.5209772,2.7469506,0.55162203,0.14423065,0.57850987,0.573656,0.16281201,0.49917075,inf,0.573656,0.16281201,0.40479195,0.19704594,0.62024426,-0.55162203,0.16255735,0.10855306,0.48123932,0.014944812,0.48344496,-0.07578103,0.47584966,0.50897056,0.11477611,0.32873777,0.42995733,0.8201737,4.6856847,3.7468429,1.8701115,0.64256614,0.49727637,104.00783,0.6298576,0.5004931,0.9813677,0.28382546,0.55417293,23.165972,AVARAGE
1,2.4411104,-0.27446622,0.12654024,5.085355,inf,0.42030692,0.46704397,0.3284854,0.5752944,3.0375228,0.57216954,0.15205252,0.63721806,0.66109705,0.7158609,0.5467183,0.9084854,0.66109705,0.7158609,0.4086661,0.22314347,0.64921814,-0.57216954,0.1327914,0.12427433,0.5365394,-0.057317812,0.51421946,-0.089984,0.5200108,0.59647113,0.1162405,0.34770107,0.41839108,0.7905279,5.158153,4.0374646,0.55205333,-inf,0.5402634,84.12789,0.63157487,0.5752667,1.134723,0.30515,0.590121,26.650408,AVARAGE
2,3.0632086,-0.24738027,0.11358203,5.659544,0.44325238,0.4646508,0.5188999,0.34903494,0.6403092,3.682406,0.6194069,0.13788563,0.8079315,0.72310674,0.91599286,0.6083788,0.852037,0.72310674,0.91599286,0.46215573,0.23063965,0.6970933,-0.6194069,0.14796986,0.13778247,0.5679148,-0.06237093,0.55928767,-0.08787897,0.5689193,0.61923295,0.10326404,0.35984656,0.4433573,0.76639587,6.1217422,4.682406,0.9276267,0.5171144,0.5929278,187.27832,0.6805465,0.6431308,1.1445177,0.26084128,0.65293694,29.264465,AVARAGE
3,2.5041106,-0.25509325,0.12041546,4.618883,0.4161158,0.46482325,0.5130688,0.341804,0.62654084,3.0543334,0.573807,0.16202089,0.832944,0.74364835,1.1832225,0.59213936,0.77764827,0.74364835,1.1832225,0.42071536,0.21045102,0.67446613,-0.573807,0.20555408,0.16690204,0.5792141,-0.043195534,0.5436888,-0.11484586,0.55990046,0.5501871,0.11439089,0.38269758,0.45240924,0.7232585,5.6480374,4.054278,0.95006406,0.6316271,0.5805199,122.35639,0.6643894,0.6270398,1.0996684,0.30901843,0.6283073,29.794594,AVARAGE
4,2.6413493,-0.26007527,0.1271876,4.9420347,0.44353434,0.45760342,0.49583676,0.34108278,0.6138517,3.2430863,0.5790054,0.16133821,0.7402088,0.7234119,1.1115892,0.58098966,0.8574514,0.7234119,1.1115892,0.41897812,0.22359687,0.66246533,-0.5790054,0.16018377,0.13766697,0.5776192,-0.047286056,0.5339265,-0.098680496,0.54936624,0.6015717,0.120015785,0.37324992,0.42728582,0.76987845,5.553169,4.2428985,0.99316984,0.64288497,0.5700578,100.20672,0.65116626,0.6238567,1.1093997,0.3095314,0.61549646,29.109104,AVARAGE
5,2.7339246,-0.28043565,0.09853313,6.2432847,0.47405523,0.38129878,0.50894815,0.28554276,0.55192214,3.3768246,0.5995991,0.1250098,0.59383106,0.58984345,0.18698333,0.52943724,inf,0.58984345,0.18698333,0.4305342,0.23614876,0.6607602,-0.5995991,0.13739969,0.105522275,0.48017204,-0.016379168,0.5115372,-0.069848046,0.49965128,0.64288867,0.098873176,0.30333477,0.40975574,0.8271954,5.427237,4.3767643,0.7205088,0.48484975,0.523153,117.94011,0.65971816,0.52729845,1.0417852,0.23848774,0.59351015,23.923391,AVARAGE
6,2.4923315,-0.2696453,0.1282904,4.9381,0.48088738,0.42738938,0.4713448,0.33101243,0.58444625,3.147625,0.57996136,0.15125637,0.58979404,0.6659344,0.69264674,0.5562737,0.993499,0.6659344,0.69264674,0.40309814,0.24082649,0.6503084,-0.57996136,0.12256171,0.11557326,0.546278,-0.054044418,0.5189163,-0.08464331,0.527767,0.6552445,0.11888863,0.33974522,0.39191702,0.80290544,5.2080245,4.147563,2.236382,0.631577,0.5476947,85.97213,0.6353732,0.5884921,1.1219054,0.29768106,0.5990547,26.938072,AVARAGE
7,3.1038346,-0.24958481,0.108815774,6.004435,0.4729285,0.45527148,0.52186334,0.3411488,0.63281125,3.7791097,0.6277331,0.13165158,0.743018,0.70624316,0.81181973,0.601935,inf,0.70624316,0.81181973,0.45876718,0.24683341,0.70067436,-0.6277331,0.13833605,0.12938103,0.5544537,-0.06034329,0.5580932,-0.08444338,0.56248283,0.6753,0.0991822,0.3403403,0.427001,0.7811639,6.1280303,4.7791095,6.7702274,0.4894472,0.58772784,142.22668,0.6846465,0.63247293,1.1366581,0.25582856,0.6539072,28.615063,AVARAGE
8,2.6384978,-0.24897797,0.12041939,4.808327,0.42617673,0.48047814,0.5185813,0.35311544,0.64334744,3.2183263,0.58581764,0.16054498,0.8505747,0.768087,1.3395522,0.60686827,inf,0.768087,1.3395522,0.4297099,0.21851146,0.6862707,-0.58581764,0.20076086,0.1675778,0.592178,-0.05125333,0.55466497,-0.11520106,0.5716038,0.5798284,0.11169979,0.38534358,0.45511505,0.722357,5.8479176,4.218326,0.09761135,0.6152877,0.5943118,111.96356,0.67277807,0.6508606,1.1185337,0.31558305,0.6418012,30.782495,AVARAGE
9,2.8312898,-0.26590365,0.11453727,6.0424786,inf,0.43332425,0.49465218,0.329012,0.5975427,3.4711015,0.6032561,0.13955349,0.6919696,0.6779512,0.79424304,0.56717247,inf,0.6779512,0.79424304,0.43860304,0.23451537,0.67460734,-0.6032561,0.12893842,0.12020055,0.53826994,-0.056676462,0.53269166,-0.08121479,0.53625095,0.6398117,0.104953624,0.34134668,0.42541638,0.8022318,5.6407475,4.470974,0.12868607,-inf,0.55849,114.44539,0.65860784,0.59633416,1.1316445,0.28146243,0.61553216,27.38297,AVARAGE
