ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,0.2575209,,0.2692741,0.6974707,1.9211804,0.119079515,0.108923696,0.3425217,0.15252988,0.51481324,0.19092305,0.25123152,0.0503627,0.20849997,0.31383818,0.15020451,30.398426,0.20849997,0.31383818,0.07715977,0.22625752,0.19536391,0.05619396,0.12416945,0.10434006,0.35665068,0.064502366,0.15375175,0.19479351,0.14844242,0.6354535,0.24201125,0.22569746,0.115190156,0.9935105,1.5010276,1.4616472,0.11109745,18.853338,0.15948026,2.5070584,0.15826204,0.13751042,1.1375713,0.11222017,0.12114429,7.941819,HEALTHY
0,0.46500266,,0.15722924,0.96800625,0.7117498,0.21334648,0.18584326,0.1808845,0.25181526,0.5903204,0.19188671,0.19164011,0.36997986,0.3884558,3.1891932,0.23421375,1.8012938,0.3884558,3.1891935,0.14028902,0.067726836,0.27101457,0.0787469,0.14635558,0.11882356,0.33400625,0.021625165,0.21896955,0.04954506,0.212988,0.15151837,0.14774334,0.28120327,0.27179095,0.8542392,1.9818944,1.4947809,0.5557816,1.2608503,0.2391851,5.141858,0.2579001,0.2664211,1.0517671,0.29341653,0.48756582,14.866997,HEALTHY
10,inf,,0.41786045,inf,1.8335857,0.16659631,0.09015705,0.72818804,0.16973881,inf,0.16795409,0.39202285,0.05490994,0.2875397,0.6112485,0.17227708,19.884956,0.2875397,0.6112485,0.058843754,0.2040587,0.17916855,0.040435825,0.09924302,0.0845371,0.54019296,0.04702689,0.15245403,0.1471946,0.17043304,0.5374341,0.3762957,0.35608202,0.08643067,inf,1.4510723,inf,0.25329587,2.7063704,0.1739376,1.9163762,0.13951749,0.19167191,1.1241333,0.13525407,0.12251851,11.030882,HEALTHY
10,1.0970105,,0.12500897,2.9519656,0.3697093,0.28576988,0.37763846,0.25476298,0.41751423,1.4627551,0.40671325,0.1658144,0.43611294,0.49639386,1.3592578,0.3986662,0.62611276,0.49639386,1.3592578,0.2737581,0.1520793,0.5483587,0.027415821,0.2293876,0.18937683,0.39719006,0.04913851,0.41315913,0.060775567,0.391618,0.36657622,0.111420214,0.29274857,0.4438393,0.702436,3.5780377,2.4626627,3.9063685,0.7926295,0.41091925,106.58153,0.5231892,0.3571575,1.129219,0.3325486,0.45771474,19.32196,HEALTHY
11,0.35521966,,0.36622,0.67766964,1.4612936,0.1954321,0.12604548,0.769586,0.2138343,0.6473923,0.2238046,0.33438534,inf,0.33823478,0.83550006,0.2126433,59.76309,0.33823478,0.83550006,0.0910108,0.26932576,0.23314917,0.059798043,0.14721344,0.12602626,0.50840914,0.07438916,0.19451688,0.232882,0.20855078,0.80113816,0.31829643,0.2928736,0.12357005,0.99765986,inf,1.5905561,inf,inf,0.216706,2.4007754,0.1839691,0.22369769,inf,inf,0.17435609,12.935608,HEALTHY
11,0.43227965,,0.2006906,0.7925202,0.5194042,0.21926837,0.17347316,0.18237258,0.24695358,0.58413696,0.1919446,0.23364675,0.29484996,0.3860991,3.4761019,0.2306255,1.1315403,0.38609913,3.4761016,0.13022971,0.07420441,0.257523,0.062839024,0.11433634,0.09266432,0.3971894,0.01766883,0.21250129,0.04282411,0.22187448,0.16867079,0.19274433,0.32735997,0.24431662,0.87077975,1.9173434,1.5362089,0.6520981,1.4337279,0.2361154,3.4442863,0.2474731,0.27782673,1.0369935,0.29305556,0.45848858,14.946374,HEALTHY
12,0.086303934,,0.50574374,0.1374342,1.184471,0.14639898,0.055150878,0.9061148,0.13422312,0.27983543,0.119281836,0.48126817,0.03506665,0.24618267,0.43497643,0.13990243,44.406406,0.24618265,0.43497646,0.031528197,0.147689,0.13535415,0.018432455,0.056362435,0.050676737,0.6093967,0.023376118,0.11782604,0.07466213,0.14051174,0.35388255,0.4632064,0.45155892,0.05252105,0.96842784,1.3197371,1.2734044,0.32653263,0.7921672,0.13865323,1.6315515,0.09795282,0.16968365,1.0957527,0.094860196,0.081613176,9.608901,HEALTHY
12,1.5209492,,0.112660065,3.436375,0.40658513,0.3686666,0.4639862,0.3050103,0.5321877,2.0003233,0.48579726,0.16020945,inf,0.6277983,0.9773876,0.5090013,0.738047,0.6277983,0.9773876,0.32825148,0.19031605,0.6425023,0.1005514,0.29473892,0.23983873,0.46674883,0.06256285,0.49738136,0.082382806,0.48333374,0.48027888,0.098088264,0.31868088,0.46263698,0.6401794,inf,3.000057,6.25505,0.6710945,0.50797933,106.80213,0.6163886,0.47031683,inf,0.33414665,0.57574767,24.605083,HEALTHY
13,0.15395518,,0.46557948,0.2514177,1.4102474,0.17021543,0.07728417,0.9438724,0.16326728,0.38555336,0.15357406,0.43669936,inf,0.28783086,0.64246285,0.16744734,27.500694,0.28783086,0.64246285,0.048297584,0.18675803,0.16667554,0.030010574,0.08329111,0.07257867,0.58826774,0.037041638,0.14383288,0.119461395,0.16723806,0.47756976,0.41932628,0.4016918,0.07718736,0.9754314,inf,1.366439,inf,inf,0.16726382,1.7985847,0.12579767,0.19506462,inf,inf,0.11257714,11.143125,HEALTHY
13,0.575644,,0.14394537,1.3695657,0.5594738,0.20813368,0.21368854,0.17203313,0.26670706,0.78255504,0.24021937,0.17128155,0.29527667,0.35864475,2.1686175,0.24926575,0.94265,0.35864475,2.1686175,0.16013286,0.095021755,0.3152519,0.08354643,0.13168228,0.1070158,0.32945517,0.02432986,0.24550146,0.056703717,0.23611984,0.22108386,0.13679518,0.25822616,0.28149658,0.85024923,2.221561,1.7159332,4.258129,1.1127971,0.25729257,6.361422,0.30331352,0.2677596,1.0480595,0.24573734,0.4858193,13.990967,HEALTHY
