,ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
0,0.9048128,-0.3804103,0.11624495,2.2718954,,0.25602219,0.40526703,0.18859285,0.36122817,1.1030924,0.3217414,0.19034187,0.55830747,0.4497422,0.13903615,0.34475622,,0.4497422,0.13903615,0.24645203,0.08662577,0.43728518,-0.3217414,0.2842482,0.16126943,0.394341,0.06955957,0.33970672,-0.11201323,0.34825906,0.19834295,0.13834737,0.32381508,0.39170763,0.76505715,3.3217173,2.1027408,-0.198959,,0.34848234,26.284748,0.48742947,0.29854995,0.8844161,0.28567487,0.30189842,17.439398,AVARAGE
1,0.9035315,-0.36717206,0.12103495,2.2990746,inf,0.26995704,0.41156316,0.20175901,0.3788815,1.1180248,0.333954,0.19699475,0.55448276,0.48001564,0.1844668,0.3612169,inf,0.48001564,0.1844668,0.25078866,0.09428368,0.46568838,-0.333954,0.2931215,0.17589317,0.4084053,0.05333775,0.35975432,-0.1444448,0.35646757,0.21462743,0.13846661,0.33373323,0.43164915,0.7314132,3.325718,2.117968,-3.8529809,-inf,0.3678215,24.587101,0.5022842,0.31847247,0.9116814,0.3208549,0.34924462,18.537449,AVARAGE
2,0.90313387,-0.37882325,0.12515473,2.2353985,inf,0.25188503,0.38050663,0.19350865,0.35703847,1.1178252,0.32995233,0.18815416,0.5046562,0.43490553,0.0016354601,0.34151286,inf,0.43490553,0.0016354601,0.24699117,0.09459621,0.43811065,-0.32995233,0.24884577,0.1507012,0.39364105,0.044758424,0.3393244,-0.109586254,0.33942428,0.21474604,0.1418194,0.31960094,0.3907866,0.77183366,3.231042,2.117667,2.3944173,-inf,0.3467019,26.048048,0.47516435,0.30194274,0.92853147,0.2809373,0.31144112,16.96269,AVARAGE
3,1.2840153,-0.301774,0.1034195,2.8555906,0.2655242,0.36541504,0.51414007,0.2667405,0.5157859,1.5630758,0.41606286,0.19146058,0.92788947,0.655532,0.77224034,0.49076554,inf,0.655532,0.77224034,0.31535867,0.11959807,0.60795206,-0.41606286,0.4209074,0.27653462,0.47396898,0.012321933,0.4740242,-0.21080802,0.46822008,0.27916044,0.10855392,0.36926132,0.5305953,0.58428925,4.8670826,2.5630758,0.47697607,0.78627974,0.48910663,35.48613,0.61955786,0.43890256,0.9866094,0.3379661,0.52589875,25.241167,AVARAGE
4,0.9602974,-0.36862475,0.11514473,2.5104034,,0.27071884,0.41407293,0.20291886,0.38316813,1.1792146,0.34258348,0.18714195,0.57225585,0.47839886,0.17290576,0.36567903,,0.47839886,0.17290576,0.2594173,0.09491319,0.4720198,-0.34258348,0.29326162,0.17755154,0.4010327,0.048189417,0.3635517,-0.13861877,0.36329105,0.21889861,0.1303432,0.3250113,0.42859805,0.7339598,3.471316,2.1789403,-0.36427101,,0.37079477,27.115679,0.5072224,0.3199013,0.92114913,0.3062092,0.2792623,18.51389,AVARAGE
5,1.0701962,-0.36415428,0.097448535,3.024418,,0.264208,0.44457966,0.19832267,0.3905377,1.2951175,0.36681014,0.16523385,0.5862414,0.46550867,-0.03232951,0.3742398,,0.46550867,-0.03232951,0.28328222,0.097152546,0.5051657,-0.36681014,0.3201015,0.19342929,0.37486157,0.052082986,0.38127312,-0.14936478,0.3668985,0.22497357,0.11068814,0.30171868,0.46401393,0.70704937,3.7582178,2.294948,6.6096287,,0.38033128,23.16294,0.53870356,0.31778488,0.9121294,0.28405347,0.3570849,18.032236,AVARAGE
6,0.8629893,-0.3994729,0.10390701,2.5350828,,0.21999095,0.40092692,0.16502917,0.324449,1.0491573,0.31134596,0.17108312,0.4502572,0.38719082,-0.19790395,0.31123453,,0.38719082,-0.19790395,0.24151056,0.08049902,0.42351127,-0.31134596,0.2786223,0.15288277,0.3459178,0.08093253,0.31989503,-0.111736245,0.3173195,0.18607509,0.12594017,0.28635412,0.393497,0.7733535,3.1434517,2.0486972,0.07663187,,0.31859574,23.101648,0.47849852,0.25683942,0.8619673,0.26344764,-0.7247493,15.004376,AVARAGE
7,0.9391315,-0.37650135,0.115035735,2.3533127,,0.2549332,0.4115737,0.18943475,0.36421528,1.1452422,0.33115292,0.18620206,0.5492665,0.44418433,0.033570465,0.34844983,,0.44418433,0.033570465,0.25367448,0.089768454,0.44783124,-0.33115292,0.28517082,0.16312163,0.39165762,0.067835905,0.345988,-0.1148281,0.34823304,0.20631887,0.13675931,0.32043475,0.4045712,0.75829536,3.381432,2.1450503,-0.15750502,,0.35264498,25.741108,0.49616563,0.30152687,0.8866365,0.28025553,0.31560603,17.271612,AVARAGE
8,1.0642234,-0.3511284,0.10235779,2.5748773,,0.30044684,0.46825203,0.21521378,0.42677626,1.2953727,0.35667658,0.1867504,0.7506505,0.53716654,0.42381045,0.40692857,,0.53716654,0.42381045,0.27272394,0.099208094,0.5102661,-0.35667658,0.3721835,0.22021592,0.4201518,0.06188157,0.39624375,-0.15250455,0.4027976,0.23137316,0.119727544,0.3364768,0.44381922,0.6817045,4.118401,2.295081,21.556543,,0.40692902,32.115906,0.55112875,0.351315,0.8963715,0.29554278,0.3617658,20.70637,AVARAGE
9,0.84279376,-0.38940576,0.11276172,2.316162,inf,0.23875982,0.39929006,0.17749114,0.3424635,1.0504897,0.31678352,0.18351516,0.48300636,0.42051828,-0.031099781,0.32754922,,0.42051828,-0.031099781,0.23654887,0.09092956,0.4310913,-0.31678352,0.27825245,0.15585631,0.37304989,0.07342529,0.32993695,-0.11464718,0.33040458,0.20788965,0.13431905,0.3049307,0.3876406,0.7689862,3.164771,2.0503142,0.27659786,-inf,0.3338313,20.746761,0.48121202,0.27891675,0.874256,0.28098524,0.2748775,16.291939,AVARAGE
