ARI_2_mean,ATSAVI_mean,blue_mean,CRI_2_mean,DATT_mean,DVI_mean,ENDVI_mean,EVI_mean,EVI_2_mean,GCI_mean,GNDVI_mean,green_mean,MCARI_mean,MCARI_1_mean,MCARI_2_mean,MSAVI_mean,MTCI_mean,MTVI_1_mean,MTVI_2_mean,NDCI_mean,NDRE_mean,NDVI_mean,NDWI_mean,NEXG_mean,NGRDI_mean,nir_mean,NPCI_mean,OSAVI_mean,PSRI_mean,RDVI_mean,RECI_mean,red_mean,rede_mean,RERI_mean,RGVI_mean,RVI_1_mean,RVI_2_mean,R_MCARI_MTVI2_mean,R_TCARI_OSAVI_mean,SAVI_mean,SAVI_2_mean,SIPI_mean,SPVI_mean,SRPI_mean,TCARI_mean,TSAVI_mean,TVI_mean,HEALTH_STA
100,0.243861,,0.38965935,0.4471321,0.4847109,0.25635973,0.12789093,3.5128448,0.29308873,0.29101884,0.11983588,0.4373356,0.49334243,0.62731194,1.9626333,0.28523216,0.5404774,0.62731194,1.9626333,0.09992674,0.04148483,0.31494895,0.073221974,0.20883982,0.2336341,0.50599307,0.040393278,0.2617895,0.112838745,0.26796624,0.088549025,0.27592978,0.4962743,0.44139695,0.6474175,1.9396542,1.1763306,1.1141756,inf,0.29004624,3.0758471,0.19812866,0.20341986,1.4393988,0.6247249,0.76072687,21.975332,HEALTHY
101,0.22465102,,0.40918726,0.4108099,0.36653107,0.24001956,0.105626784,4.395818,0.27204585,0.27147883,0.11307537,0.43460545,0.4243784,0.5806711,1.7877482,0.26577902,inf,0.5806711,1.7877482,0.09226185,0.040918104,0.29209402,0.08352118,0.17519411,0.20984378,0.49000883,0.021610241,0.24338073,0.117725,0.24332938,0.08723466,0.292448,0.47444376,0.40268505,0.68892705,1.7826566,1.1393434,1.1412623,3.1052568,0.27033928,2.7231743,0.17437606,0.19328566,1.4296484,0.57442194,0.75954884,20.395563,None
102,0.23984069,,0.39937475,0.4383688,inf,0.24184935,0.11383777,3.2629886,0.27790108,0.30112115,0.12345829,0.42049086,0.4310448,0.57495594,1.7411871,0.27058524,0.57364637,0.57495594,1.7411871,0.09627275,0.04556013,0.2997346,0.10793701,0.17729998,0.20959476,0.47306108,0.012555142,0.24898945,0.15622666,0.24798013,0.09769834,0.2914049,0.4553392,0.40546277,0.70718354,1.7689016,1.1371517,1.3341117,2.9460883,0.2755037,2.7484112,0.18765865,0.20533407,1.4085815,0.561927,0.7665842,20.30475,None
103,0.23662667,,0.38560703,0.42388597,inf,0.25163293,0.13242127,inf,0.28900823,0.26904228,0.112275355,0.43588722,0.5031823,0.6190127,1.9380559,0.28091648,0.44280368,0.6190127,1.9380559,0.09877301,0.03080957,0.3101913,0.08870589,0.21841641,0.23433213,0.48596296,0.01730909,0.25794834,0.13476874,0.2560963,0.06474018,0.28100976,0.48294336,0.4430885,0.6614676,1.8547674,1.1210902,0.87411255,3.087873,0.2857693,2.8970268,0.19926198,0.19843559,1.4060452,0.6208306,0.77391225,21.6394,None
104,0.20416985,,0.4026475,0.3810449,0.414868,0.23172781,0.10953406,4.9907236,0.26648292,0.242267,0.10231754,0.43869644,0.4467521,0.58616215,1.6780965,0.26067817,0.3588453,0.58616215,1.6780965,0.08613807,0.029289894,0.28991812,0.102123044,0.19634911,0.22479483,0.46610853,0.01827569,0.24055557,0.14290087,0.23811756,0.06145954,0.29188347,0.4679094,0.42543826,0.68461347,1.71766,1.0721655,0.9872341,3.3687527,0.2656863,2.6423635,0.17099275,0.17379364,1.4131532,0.5963377,0.7720641,20.333418,None
105,0.2298797,,0.40639022,0.38155013,inf,0.28095385,0.13752526,inf,0.31187165,0.27985066,0.11614523,0.47291693,0.5489164,0.6885304,2.3051233,0.30285808,0.28829342,0.6885304,2.3051233,0.09420276,0.031956382,0.32388642,0.07324766,0.22318979,0.24284644,0.5481255,0.03360973,0.27252707,0.123730265,0.2884566,0.06714379,0.2941681,0.5374023,0.4507666,0.62992823,1.9873962,1.1755929,0.856731,inf,0.30641225,3.003192,0.20797269,0.21837454,1.4112215,0.6815215,0.7665371,24.111351,AVARAGE
106,0.22140972,,0.41814417,0.36923155,0.475255,0.24732715,0.11846074,3.8416598,0.27328572,0.2687425,0.11175093,0.45229828,0.46248108,0.59028447,2.1838863,0.26589495,0.51594514,0.59028447,2.1838863,0.09100733,0.030256292,0.28527978,0.09082308,0.18334855,0.20428072,0.496266,0.016192976,0.23988315,0.10183671,0.23607104,0.06351311,0.3108654,0.49118516,0.40222314,0.70311135,1.7181818,1.1005754,0.87010944,inf,0.26957908,2.540266,0.18640071,0.20599742,1.3784304,0.5934743,0.79203004,20.797754,AVARAGE
107,0.22393249,,0.37788883,0.4265725,inf,0.23577105,0.123441644,4342358500.0,0.27559173,0.2785837,0.115553685,0.41597223,0.44114867,0.57146347,1.5972923,0.26862842,0.5461649,0.57146347,1.5972923,0.092526615,0.04189155,0.30165634,0.101843394,0.19840604,0.21926229,0.46017024,0.016697384,0.24936682,0.12451599,0.24265504,0.089429505,0.27934283,0.4531872,0.4264087,0.68842566,1.7759196,1.115568,2.623002,inf,0.2740982,2.7966013,0.19211061,0.18998046,1.3867087,0.5732525,0.77027124,20.051401,AVARAGE
108,0.14896856,,0.4129883,0.28494874,inf,0.17375982,0.09058521,inf,0.19892967,0.17821772,0.07793362,0.4374955,0.30601415,0.45798326,1.2827415,0.19641143,0.72270495,0.45798326,1.2827415,0.06526219,0.023144735,0.22098602,0.09823215,0.16580579,0.18255223,0.4212289,0.018533228,0.18288615,0.12524699,0.17378727,0.048106655,0.32097042,0.42783445,0.3453032,0.7500789,1.4080317,0.96782875,4.319297,inf,0.20130445,2.0569322,0.13788763,0.13152212,1.3176093,0.47526875,0.8022568,15.699893,UNHEALTHY
109,0.21991195,,0.4141296,0.37483123,0.45483547,0.2505023,0.11727729,4.767276,0.2808704,0.26977777,0.111762464,0.45255974,0.47913417,0.61349285,1.9962317,0.27352187,0.48199484,0.61349285,1.9962317,0.09037522,0.032442756,0.2963297,0.10332403,0.19576524,0.22158326,0.4929925,0.022379616,0.24823748,0.1534884,0.24829307,0.06856182,0.3013989,0.49069443,0.42322326,0.6826157,1.7636205,1.095879,0.9674511,3.3886635,0.2775345,2.6590567,0.18565837,0.20205958,1.4077531,0.616196,0.7748919,21.464952,None
